Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
AI Agents,staff,The strongest signal you should not ship an agent yet is:,"A scripted DAG plus one extraction call meets the SLA and the audit log, and the agent only wins on rare demos",Users have open-ended goals across many tools,You cannot predefine the next observation,Research quality requires iterative search,A
AI Agents,staff,"You can give an agent a browser, a shell, and prod credentials 'so it can debug like a human'. Why is this a category error?",Agents cannot use browsers.,A human is accountable and rate-limited by attention; an agent will explore the union of permissions at machine speed. Split identities and environments.,Prod credentials are fine if in a vector store.,"Debugging never needs write access, so the union is safe.",B
AWS & S3,staff,A consumer 'succeeds' if it PUTs to S3 but crashes before finishing side effects. Replay will PUT again. The object key should be:,A random UUID every attempt so nothing clashes,Deterministic from the message id / business id so retries overwrite the same checksummed object,The current timestamp to the nanosecond,The SQS receipt handle,B
AWS & S3,staff,A data lake is 'S3 + many writers renaming prefixes to commit'. Why do staff engineers push for a real table format / manifest?,Rename is atomic across prefixes in S3 like a filesystem mv of a directory.,There is no atomic directory rename; readers can see partial sets. Table formats (or a commit inventory) give a consistent snapshot of files.,S3 LIST is a transaction log.,Prefix rename is cheaper than writing a manifest.,B
AWS & S3,staff,A pipeline is 'SQS -> worker -> S3 -> notify next queue'. End-to-end exactly-once is:,Guaranteed by SQS FIFO alone,"Not given; each hop is at-least-once, so idempotent writes (keyed objects/versions) are the real contract",Guaranteed by S3 copies,Guaranteed if checksums match,B
AWS & S3,staff,Cross-account S3 access: bucket policy vs IAM identity policy vs ACL vs VPC endpoint policy. A request is denied. How do you reason?,Any one allow wins.,All relevant layers must allow and none deny; missing identity permission or a VPC endpoint policy deny will fail the call even if the bucket policy allows.,ACLs override IAM.,"Bucket owner always can, regardless of endpoint policies.",B
AWS & S3,staff,Cross-region replication of S3 objects is asynchronous. Designing a 'read in region B immediately after write in A' as if it were a commit is wrong because:,Checksums do not replicate,Replication lag means B may not have the object yet; it is not a distributed database transaction,Prefixes cannot cross regions,SQS becomes exactly-once when CRR is on,B
AWS & S3,staff,Firehose/Kinesis rolling files into S3 every N MB or N seconds is about:,Making S3 a transactional database,"Turning a high-QPS small-event stream into large, checksummed objects with spread prefixes",Guaranteeing exactly-once SQS,Avoiding copies for durability,B
AWS & S3,staff,"In AWS / S3, a KMS-encrypted bucket plus many tiny GETs is slow/expensive because:",Encryption removes copies,Each request can add KMS authz/decrypt overhead on top of the small-file request tax,Checksums cannot run with KMS,SQS cannot send encrypted payloads,B
AWS & S3,staff,"In AWS / S3, compare-and-swap with ETags on a hot inventory object serializes the world onto one key. At scale you:",List the bucket instead,"Shard the object, use a real database for the hot row, or accept queue-based serialization — S3 is not a write-optimized row store",Turn off checksums to go faster,Use sequential date prefixes for inventory,B
AWS & S3,staff,"In AWS / S3, durability of copies does not protect you from a bad DELETE in the app. You still need:",A memorized nines figure,"Versioning, MFA-delete/Object Lock, IAM least privilege, and backups — operational mistakes are not disk failures",At-most-once SQS so deletes never retry,Sequential prefixes as undo logs,B
AWS & S3,staff,"In AWS / S3, hot prefix plus small files plus a LIST-heavy UI is a triple hit. The architecture move is:",Raise the durability SLA,"Metadata in a database or index, objects in S3 with hashed prefixes and batched file sizes; never LIST as the product query",One SQS message per byte,Disable checksums and versioning,B
AWS & S3,staff,"In AWS / S3, strongly consistent GET of a key is not isolation for a multi-step workflow because:",Checksums are eventual,Two objects (or object + queue + table) are not one transaction; you compose idempotent steps,Prefixes provide SNAPSHOT isolation,SQS FIFO wraps S3 in a transaction,B
AWS & S3,staff,"In AWS / S3, you replicated objects and now readers see old and new writers. The durable copies did their job; the missing piece is:",A higher SLA percentage,An application-level version/epoch so readers know which object generation is authoritative,Disabling checksums so clocks agree,Sequential prefixes for linearizability,B
AWS & S3,staff,Inventory reports and S3 Batch exist because listing the live bucket as a control plane:,Is a strongly consistent SQL view,Does not scale as a database catalog; you snapshot metadata out of band,Fixes prefix hotspots,Makes small files free,B
AWS & S3,staff,S3 Object Lock / WORM helps compliance. Using it as a queue ack store is a smell because:,WORM objects cannot have checksums,"You wanted a messaging semantic (visibility, retry, DLQ), not immutability of blobs",Prefixes cannot be locked,At-least-once is disabled by WORM,B
AWS & S3,staff,"Using S3 as a lockfile (PUT if not exists, then work) fails under contention because:",PUT cannot create empty objects,There is no robust lease/fencing story like a consensus lock; timeouts and retries produce split brain,Checksums break If-None-Match,Prefixes serialize all PUTs globally,B
AWS & S3,staff,You are asked to put a POSIX-ish shared scratch filesystem on S3 for a database's data directory. What is the right answer?,"S3 is strongly consistent now, so fsync semantics are met.","S3 is an object store, not POSIX: no byte-range locking, no real fsync of a mutable file. Use block storage or a real shared FS designed for that DB.",Mountpoint for S3 is equivalent to ext4 for InnoDB.,"If you enable versioning, POSIX appends work.",B
AWS & S3,staff,You need append-only analytics events. Why not one S3 PUT per click from the browser?,S3 cannot be written from the internet with the right IAM,"Tiny-object request cost, prefix hotspots, and no server-side aggregation; buffer in Kinesis/SQS/Firehose then write large objects",Checksums reject click JSON,At-least-once queues forbid this path only,B
B-tree & LSM,staff,"For B-trees and LSM trees, a key-value API with many overwrite-in-place small rows vs append-mostly events: how do you argue the engine choice?",In-place small-row OLTP often wants B-tree locality and cheap point/range; append-mostly ingest wants LSM sequential write and later compaction,Always LSM because write amp is lower in every workload,Always B-tree because compaction is impossible to operate,The choice only depends on whether you have a WAL,A
B-tree & LSM,staff,"For B-trees and LSM trees, a leveled compaction write-amp estimate of ~10 (level ratio ~10) is missing which operational multiplier?","WAL write, memtable flush, and extra L0→L1 work when L0 is unsorted/overlapping",Bloom-filter hash count,B-tree fanout,Replica ping time,A
B-tree & LSM,staff,"For B-trees and LSM trees, a team wants 'just put RocksDB in front of S3' as a global database. What staff-level objection is first?",RocksDB cannot persist to disk.,"A local LSM is not a distributed consensus/replication layer; you still need sharding, fencing, and a commit protocol or you will split-brain.",S3 cannot store SSTables.,Bloom filters do not work outside process memory.,B
B-tree & LSM,staff,"For B-trees and LSM trees, an LSM write stall despite spare CPU often means which resource is the real bottleneck?",Bloom-filter CPU hash time,"Flush/compaction bandwidth or L0 file-count limits: ingest is gated on making room, not on user-thread CPU",Too many range-scan merge iterators on idle cores,The B-tree splitter is running,B
B-tree & LSM,staff,"For B-trees and LSM trees, delete-heavy LSM with lazy tombstone compaction: what is the dangerous read-path failure mode?",Point gets return random keys,Scans and gets keep resurrecting work: they must overlay tombstones from newer files onto older versions until compaction drops them,The WAL refuses new deletes,Bloom filters start returning false negatives,B
B-tree & LSM,staff,"For B-trees and LSM trees, merge iterator during an LSM scan must resolve duplicate keys. What is the correct recency rule?",Oldest SSTable wins because it was flushed first,"Newest sequence/memtable-or-file generation wins, including tombstones that hide older values",Largest value wins,Bloom filters pick the winner,B
B-tree & LSM,staff,"For B-trees and LSM trees, prefix bloom / partitioned filters exist because of which scan vs get tension?",Whole-file blooms help point gets but not prefix/range existence checks; partitioned/prefix filters prune files for both,They replace compaction,They make SSTables mutable,They store the full key in RAM,A
B-tree & LSM,staff,"For B-trees and LSM trees, tombstones in an LSM outlive the data they delete under a bad compaction policy. How do reads fail?",They don't; tombstones are skipped in O(1).,Point and especially range reads must sift dead keys until compaction drops them; space and CPU inflate.,Tombstones automatically promote to the memtable as live keys.,The WAL refuses new writes until tombstones are gone.,B
B-tree & LSM,staff,"For B-trees and LSM trees, why is fsync of the WAL not the same as fsync of SSTables for crash correctness?",WAL fsync makes the latest memtable mutations recoverable; SSTable fsync makes a flush durable so WAL can be truncated,Only SSTable fsync matters; WAL is a cache,Only WAL fsync matters; SSTables can be torn forever,Both are optional if bloom filters are used,A
B-tree & LSM,staff,"For B-trees and LSM trees, why is naive size-tiered compaction prone to space-amp spikes right before a large merge?",A merge of similar-sized runs temporarily keeps old and new copies until the new file is installed,Bloom filters double on disk,The WAL is checkpointed into every SSTable twice,Memtables are never released,A
B-tree & LSM,staff,"For B-trees and LSM trees, you are picking a storage engine for a write-heavy metrics store with occasional large range scans for graphs. What is the real tension?",LSM ingest vs the merge cost of those range scans (and compaction stealing I/O from queries).,B-trees cannot store timestamps.,LSMs cannot expire old data.,Range scans are always O(1) on both.,A
B-tree & LSM,staff,"For B-trees and LSM trees, you have a block cache that already holds most inner index blocks. Where should you spend the next RAM dollar for LSM point gets?","Always more bloom-filter bits, even if data blocks are never cached",It depends: blooms cut negative lookups; caching data/filter blocks cuts positive lookups. Measure miss types,Never bloom filters if any cache exists,Always enlarge the WAL,B
B-tree & LSM,staff,"For B-trees and LSM trees, you must pick a structure for a working set that fits in RAM but a dataset that does not. Which statement is the staff-level read of amplification?","If internal nodes/filters/hot leaves stay cached, B-tree point reads can be one I/O; LSM still pays multi-level filter/index misses on cold keys",RAM size makes on-disk layout irrelevant,LSM point reads become free because memtable holds the dataset,Write amplification disappears when the working set is cached,A
B-tree & LSM,staff,"For B-trees and LSM trees, you observe LSM read amp rising while write amp falls after switching compaction style. What did you likely just do?","Moved toward more aggressive leveling (more rewrite, fewer overlapping files)","Moved toward lazier tiered/universal merging (less rewrite, more overlapping runs)",Disabled the WAL,Replaced blooms with a full in-memory index of every key,B
B-tree & LSM,staff,The RUM conjecture is useful when choosing B-tree vs LSM because it says…,"You can independently minimize read, update, and memory/space amplification at once","You cannot simultaneously minimize read, update, and memory/space amplification; LSM and B-tree sit on different corners",Only RAM size matters; on-disk layout is irrelevant,Compaction eliminates all three amplifications,B
B-tree & LSM,staff,Why can a copy-on-write B-tree (or CoW page engine) still lose the LSM ingest race under random writes?,CoW still tends to write page-granularity trees and can amplify through ancestors; LSM batches into sequential runs,CoW never writes a WAL,CoW cannot be crash-safe,LSM never writes more than once,A
C++,staff,An ABI-stable plugin interface returns `std::string` across a `.so` boundary compiled with different libstdc++. What did you just do?,The Itanium ABI makes all std::string layouts identical forever.,You invoked ODR/ABI roulette: layout and allocators may differ; use a C ABI (char* + length) or a single shared standard library.,unique_ptr across .so is always safe if string is not.,C++ modules fix ABI at the filesystem boundary.,B
C++,staff,"In C++, a low-latency path allocates on every message (std::string, vector resize). The profiler is 'clean' of locks. What is still wrong?",Allocators are wait-free and never stall.,"Allocator contention and cache pollution; pre-size, arenas, or intrusive buffers belong on that path.",The compiler elides all heap use in loops.,virtual functions are the only latency bug that matters.,B
C++,staff,"In C++, a sanitizer-clean binary still corrupts state only at -O3. What class of bug is first on the list?",A missing #include.,"Undefined behavior the optimizer exploited (strict aliasing, signed overflow, lifetime) that -O0 happened not to.",The linker strips atomics at -O3.,Sanitizers prove the absence of UB at all optimization levels.,B
C++,staff,"In C++, a tight packet loop uses virtual dispatch per packet on a deep hierarchy. Profile shows i-cache misses. What is the data-oriented move?",Add more virtual methods to improve prediction.,"Sort by type, use a closed set of concrete handlers, or a table of function pointers over contiguous data — cut the pointer chase.",virtual is always inlined by LTO.,Put each packet on its own heap allocation for locality.,B
C++,staff,"In C++, you need to share read-mostly config across threads. A shared_ptr swapped atomically vs a mutex around a unique_ptr. What is the RCU-like idea?",Mutex is always lower latency for reads.,Publish a new immutable snapshot (atomic shared_ptr); readers copy the pointer with no lock; old snapshot frees when refcount hits 0.,unique_ptr can be read from two threads if it is const.,atomics on unique_ptr are in the standard and cheaper.,B
C++,staff,"In C++, you need wait-free reads of a config blob. Writers are rare. Which pattern matches?",A single mutex around a unique_ptr that readers also take.,"Immutable snapshots published with atomic shared_ptr (or RCU); readers load the pointer, writers publish a new object.",volatile on the unique_ptr.,memory_order_relaxed stores of a mutex.,B
C++,staff,You must keep ABI stable for a C++ library used by customers' compilers. Which surface is the least painful?,Inline templates and std::string in the public API.,"A C API (opaque handles, explicit sizes) with C++ wrappers in a header that the customer compiles.",Exporting std::vector from a .so compiled with a different libstdc++.,Throwing exceptions across the .so boundary as the stable contract.,B
Cassandra,staff,A globally distributed Cassandra app uses LOCAL_QUORUM in each DC and never repairs. What consistency story are you actually giving users who travel between DCs?,Linearizable global reads.,A DC-local quorum that can remain stale vs another DC until repair/hint/read-repair; design for it or use a different consistency/replication model.,LOCAL_QUORUM waits for all DCs.,Hinted handoff makes DCs interchangeable immediately.,B
Cassandra,staff,"In Cassandra, LWT cost is not just extra round trips. What local storage-engine cost also shows up?","Paxos state (promises/commits) is persisted per partition, adding writes, contention, and more compaction on that key",LWT bypasses memtables entirely,LWT stores a full cluster snapshot,LWT turns off bloom filters cluster-wide,A
Cassandra,staff,"In Cassandra, a coordinator chooses replicas for a QUORUM read. Why might it still do extra digest reads?",To hash the partition key again,"To detect replica disagreement cheaply, then fetch full data and reconcile, which is a form of read repair work",Digest reads replace QUORUM,Digests are only for hinted handoff,B
Cassandra,staff,"In Cassandra, a repair that misses a recently deleted partition (gc grace elapsed, tombstone dropped, replica was down) produces what?",A harmless no-op,Data resurrection: the stale replica's live data is copied back to others,Automatic RF increase,LWT abort of the repair,B
Cassandra,staff,"In Cassandra, a staff review of a 'one partition per tenant, all rows clustered' multi-tenant design should flag what first?",CQL cannot filter clustering columns,"Tenant size skew becomes hot/wide partitions; noisy tenants dominate compaction, repair, and replica CPU with no token isolation",RF cannot be greater than 1 for multi-tenant data,QUORUM does not work with clustering columns,B
Cassandra,staff,"In Cassandra, compaction strategy: STCS on a time-series table that mostly appends and TTLs. Why might TWCS be the better fit?",STCS is illegal on time-series.,"Time-window compaction can drop whole SSTables when TTL expires instead of mixing old/new in size-tiered compaction, reducing tombstone pain.",TWCS makes all reads QUORUM.,TWCS stores data in B-trees.,B
Cassandra,staff,"In Cassandra, dropping gc_grace to 'clean tombstones faster' after a mass delete: what must already be true?",Nothing; it is always safe,Every replica has received the deletes and repair has covered the ranges; otherwise dropped tombstones invite resurrection,CL=ONE is in use,LWTs are disabled,B
Cassandra,staff,"In Cassandra, hinted handoff during a rolling outage of two of three replicas at RF=3, CL=QUORUM: what happens to writes?",Writes succeed because hints count as quorum votes,"QUORUM writes fail; hints are not a substitute for live acknowledgements, so availability drops until a replica returns",CL is automatically lowered to ONE,The remaining replica becomes RF=1 silently,B
Cassandra,staff,"In Cassandra, hot-partition mitigation via bucketing (user_id + bucket) changes which costs?",It removes the need for RF,"Writes spread across tokens, but reads of 'all buckets' become scatter-gather and you reintroduce merge/limit logic in the app",Clustering order is lost forever,QUORUM is no longer defined,B
Cassandra,staff,"In Cassandra, incremental repair vs a naive full repair: what failure mode are you trying to avoid?",Token-aware routing,"Repeatedly streaming already-agreed ranges, overloading disks/network, and extending the window where unrepaired data can resurrect after tombstone GC",The need for partition keys,Use of clustering columns,B
Cassandra,staff,"In Cassandra, when would you accept CL=ONE writes in production despite stale-read risk?",Always; QUORUM is never worth it,"When the workload is write-availability-first, reads can tolerate staleness, and repair/hints/read-repair are operated as the reconciliation path",When you also need linearizable CAS,"When RF=1 already, so CL does not matter and you still claim multi-replica durability",B
Cassandra,staff,"In Cassandra, why can EACH_QUORUM writes be the right multi-DC choice even though they are slow?",They contact only one node,"They require a quorum in every DC, so a DC that was partitioned does not silently accept a CL that later cannot be read locally",They skip the commit log,They disable tombstones,B
Cassandra,staff,"In Cassandra, why is a monotonically growing clustering key that is also the only partition key a dual foot-gun?",It is the recommended time-series pattern,One ever-growing partition (hot + wide) lands on one token; time-series wants time in clustering and a bounded partition key (and often time buckets),Clustering keys cannot be timestamps,QUORUM forbids time-series,B
Cassandra,staff,"In Cassandra, you need linearizable compare-and-set on a counter-like row. Why is 'read QUORUM then write QUORUM' the wrong tool?",QUORUM cannot read counters,Two clients can both read the same value and both write; you need LWT/Paxos (or an external consensus) to serialize the RMW,Repair already serializes all writes,Hinted handoff provides linearizability,B
Cassandra,staff,W+R>RF is necessary but not sufficient for 'I always read my write' in Cassandra. Which extra caveat is staff-level?,There are no caveats if W+R>RF,"Clock/last-write-wins, partial replica failures, digest mismatch paths, and CL computed per-DC can still yield surprising recency without LWT/SERIAL",Partition keys are not hashed when W+R>RF,Tombstones disable W+R>RF,B
Cassandra,staff,You must explain why Cassandra's last-write-wins on conflicting replicas is not a substitute for LWT.,LWW always waits for Paxos,LWW picks a timestamp winner after the fact; concurrent RMWs can lose updates. LWT prevents the lost update by agreeing before commit,LWW and LWT are identical on the same partition,Repair turns LWW into linearizability,B
Cassandra,staff,You need a uniqueness constraint ('this email is registered') in Cassandra. Why is that a product smell at staff level?,Cassandra unique indexes are serializable by default.,Uniqueness is a consensus problem; LWT per email works at modest QPS and becomes a hotspot/latency tax. Often the source of truth belongs in a database that does this cheaply.,A secondary index on email is unique automatically.,Partitioning on email hashes uniqueness for free.,B
Data Structures & Algorithms,staff,"In data structures and algorithms, CHAMP / HAMT / B-tree vs open-addressing hash for a persistent (immutable) map in a language runtime. Why the tree-like hash trie?","Structural sharing on update: you copy a path, not the whole table — a flat hash array maps poorly onto persistent workloads even if lookups are similar",Trees cannot share structure,Open addressing is required for immutability,Heaps persist better because extract-min copies nothing,A
Data Structures & Algorithms,staff,"In data structures and algorithms, LRU under scan-heavy traffic (a job reads every key once). What happens to the cache of hot keys?","The scan fills the recency list and evicts the working set — classic LRU failure; use scan-resistant policy (2Q, ARC, LRU-K) or pin/hot-bit",LRU is scan-proof because hashes skip one-time keys,A heap ordered by key length stops scans,BFS insertion order is immune,A
Data Structures & Algorithms,staff,"In data structures and algorithms, a 'linked list of buffers' vs a small number of large slabs for a network server. Same abstract list of bytes. Why slabs?","Fewer allocations, sequential DMA/cache, cheaper to coalesce; the pointer-rich list maximizes syscall and miss cost per byte",The kernel can only send linked lists,Slabs cannot represent a queue,BFS requires one malloc per byte,A
Data Structures & Algorithms,staff,"In data structures and algorithms, a rate limiter for a global API: token bucket in one Redis vs sliding log of timestamps per user. What is the staff trade-off?",They are identical at all scales.,Token bucket is O(1) memory/CPU and approximate; a precise sliding log is memory-heavy per key and harder to shard. Pick based on fairness vs cost.,Sliding log is O(1) and token bucket is O(n).,Only a bloom filter can rate-limit correctly.,B
Data Structures & Algorithms,staff,"In data structures and algorithms, autocomplete at 50k QPS: trie in one JVM vs prefix query to a search engine. When is the trie the wrong 'clever' answer?",Tries are always smaller than inverted indexes.,"When the dictionary is huge, needs fuzzy/ranked results, or must be updated without STW rebuilds — operational cost dominates Big-O.",Search engines cannot do prefix match.,A trie cannot be sharded.,B
Data Structures & Algorithms,staff,"In data structures and algorithms, counting Bloom / cuckoo / quotient filters exist. You need deletes and a hard bound on false positives for a security denylist. Why a vanilla Bloom is the wrong contract?","Standard Bloom cannot delete safely and never gives 0% false positives — a 'yes' could allow or deny the wrong principal; use an exact set or a structure with bounded, understood errors","Vanilla Bloom has false negatives, which are worse for denylists",Union-find can delete Bloom bits,LRU turns Bloom into an exact set,A
Data Structures & Algorithms,staff,"In data structures and algorithms, dijkstra on a huge sparse graph: binary heap vs array vs Fibonacci-style vs just BFS. Workload split?","If all weights are equal, BFS (or 0-1 deque) — a heap is wasted. If weights vary, you need a PQ; which PQ depends on decrease-key volume and graph size, not the brand name",Always Fibonacci heap because the bound is famous,DFS with a Bloom filter replaces Dijkstra,Union-find extracts the next closest node,A
Data Structures & Algorithms,staff,"In data structures and algorithms, directed graph, detect if adding an edge would create a cycle, online, many queries. DFS every time is too slow. Better?","If the graph is a DAG of components you merge, union-find works for undirected; for directed you need incremental topo / reachability (or full topo + DFS on the relevant region) — union-find alone is the wrong connectivity model",Union-find is identical for directed cycles,A Bloom filter of edges proves acyclicity,BFS from a random node never sees directed cycles,A
Data Structures & Algorithms,staff,"In data structures and algorithms, false-positive rate of a Bloom filter after you insert more items than it was sized for. What actually happens?","Bits saturate, 'yes' becomes almost always — the filter silently degrades toward useless; there is no crash, which is why ops miss it",It starts emitting false negatives to compensate,Union-find rebuilds the bitset,LRU evicts bits in recency order,A
Data Structures & Algorithms,staff,"In data structures and algorithms, hot-key workload: 1 key is 40% of QPS. Hash partition across 50 caches. What structure-level fact did you ignore?","Hashing spreads keys, not load — one key still lives on one shard; you need replication, local LRU on every node, or a different split (by session, by request) for that key",A balanced tree on the same key automatically shards it,A heap of caches will split the key each extract-min,Consistent hashing splits a single key across the ring by definition,A
Data Structures & Algorithms,staff,"In data structures and algorithms, rendezvous hashing vs consistent ring: you want minimal disruption and easy weighted nodes without virtual node explosion. Which idea?","Highest random weight / Rendezvous: score(key, node), pick max — membership change only moves keys that preferred the lost node; weights fold into the score",Always use hash % N with sticky sessions,Put nodes in a heap and extract-min per key,DFS the node list until a Bloom filter says yes,A
Data Structures & Algorithms,staff,"In data structures and algorithms, union-find with path compression, no union-by-rank, adversarial unions always attaching large to small via the wrong root. Practical issue?","Trees get tall; even with later compression, a bad sequence plus no rank/size can make individual finds scan long chains before they flatten",Path compression without rank is undefined,The structure becomes a heap and extract-min breaks,Bloom filter bits collide with the parent array,A
Data Structures & Algorithms,staff,"In data structures and algorithms, you external-sort huge files. Runs are written, then merged. Why does 'stable' still matter on disk?","Equal keys from earlier files/runs must keep their input order (e.g. original row id, replica timestamp) or the merge invents a new ordering that downstream consumers did not ask for","Stability only exists in RAM arrays, not files",Heaps used in k-way merge are stable by nature for all equal keys,BFS merge of runs preserves order automatically,A
Data Structures & Algorithms,staff,"In data structures and algorithms, you need an LRU across a fleet. Local LRU per node + consistent hashing. A key's node jumps; the new node has a cold LRU. Besides miss storm, what invariant broke?","Recency is per process — the global working set is not on the ring. Hashing moves identity, not the linked-list order; replicas or session stickiness are how you keep recency",Consistent hashing copies the doubly linked list to the successor automatically,A heap of timestamps is globally shared via hashing,BFS of the ring rebuilds LRU,A
Data Structures & Algorithms,staff,"In data structures and algorithms, you need connectivity across a huge undirected graph that mutates. Why might union-find (DSU) be the right first tool, and when does it stop?",DSU supports deletions as cheaply as unions.,"Near-constant unions/finds for 'are these connected' if you mostly add edges; deletions, path queries, or need for actual paths need a different structure.",DSU is only for trees of height 2.,BFS from every node is always faster.,B
Data Structures & Algorithms,staff,"In data structures and algorithms, you replace an array-backed deque with a linked list to get 'true O(1) insert in the middle' for a 1e7-element structure you mostly iterate. Net effect on a modern CPU?","Middle insert may allocate and patch two pointers, but iteration becomes cache-hostile; if iterates dominate, you slowed the real workload",Linked lists always dominate arrays once n > 10^4,The allocator colocates list nodes so they prefetch like arrays,TLB prefers pointer graphs to contiguous pages,A
Data Structures & Algorithms,staff,"In data structures and algorithms, you sort events by (user_id, event_time) for per-user sessionization. One-pass composite compare vs sort-by-time then stable sort-by-user. When is the two-pass actually what you want?","When event_time order among a user must be the original sort's order and that first sort was already done (or is expensive to redo as a composite) — stability composes existing order; a new unstable composite can still break equal (user, time) ties you cared about",Two-pass is always slower and never justified,Heaps can only do one key,BFS requires two-pass sorts,A
DynamoDB,staff,A cache in front of DynamoDB for a hot product key helps reads. What must you still design for?,The cache makes writes strongly consistent across regions,"Cache misses, TTL expiry, and stampede can slam the same hot key; writes still hit DynamoDB",Partition keys are no longer needed,GSIs become strongly consistent,B
DynamoDB,staff,A product wants relational joins across three DynamoDB tables on the request path. What should you push back with?,Use Scan + in-memory join; DynamoDB is fine.,"Access-pattern-first: denormalize/duplicate, or pick a database that joins. Request-path joins are N queries, inconsistent snapshots, and hot GSIs waiting to happen.",Transactions across three tables are free if items are small.,PartiQL joins are as cheap as Dynamo Query.,B
DynamoDB,staff,"In DynamoDB, a 350KB item is updated 20 times a second to flip one flag. Why is this an incident waiting to happen?",Flags cannot live in DynamoDB,"Each update rewrites the whole large item, multiplying write cost and making that key hotter than the business change requires",Updates are eventually consistent only,On-demand forbids updates,B
DynamoDB,staff,"In DynamoDB, a GSI is KEYS_ONLY. A query against it still needs five large attributes. Tradeoff?",The GSI returns those attributes for free,You do a cheap index Query then GetItem the base rows; you avoided write amplification at the cost of extra reads,KEYS_ONLY implies strong consistency,You must Scan the base table,B
DynamoDB,staff,"In DynamoDB, a leaderboard GSI partition key is the constant LEADERBOARD. Why will this fail at scale?",Constants are not valid attribute names,Every write lands on one index partition; you modeled a global hot key,GSIs cannot sort,Leaderboards require strongly consistent scans,B
DynamoDB,staff,"In DynamoDB, adaptive capacity moved extra throughput toward a hot partition, but p99 still collapses on one productId. What is left?",Buy more table-level RCUs only,"Change the key (shard, invert access pattern, or cache) because one key is a physical bottleneck",Enable strongly consistent GSIs,Switch every read to Scan,B
DynamoDB,staff,"In DynamoDB, exporting to S3 / using an incremental export for analytics is preferred over a live Scan because:",S3 is a database,You isolate heavy read traffic from the online table's partitions and capacity,Exports are strongly consistent GSIs,Scans cannot paginate,B
DynamoDB,staff,"In DynamoDB, global tables give you multi-region copies. What do they not give you?",Lower read latency near a replica,A single globally strongly consistent item view for every read,Regional isolation if you design for it,The same partition-key model in each region,B
DynamoDB,staff,"In DynamoDB, on-demand still throttles a partition. Why are people surprised?",On-demand advertises infinite per-key QPS,"On-demand removes table-level provisioning, not the physics of a single hot key or a sudden jump beyond what that partition can absorb",On-demand disables GSIs,On-demand is only for Scans,B
DynamoDB,staff,"In DynamoDB, single-table design is not 'put everything in one table'. The actual rule is:",Minimize the number of AWS resources on the bill,"Shape items and keys so each access pattern is a Query on a partition, not a Scan across entity types",Never use GSIs,Store blobs inline to avoid joins,B
DynamoDB,staff,"In DynamoDB, streams + Lambda to maintain a projection. The Lambda is not idempotent. What operational failure is guaranteed eventually?","Streams are exactly-once, so the projection stays correct.",At-least-once shard records will double-apply; the projection must be idempotent or versioned.,Lambda retries are disabled for DynamoDB streams.,Projections cannot diverge because they share storage with the table.,B
DynamoDB,staff,"In DynamoDB, strongly consistent reads cost more and still do not make a GSI or a global-table replica 'the truth everywhere'. The honest contract is:","Strong reads are a quorum read of that table's item in that region, not a global lock",Strong reads lock all GSIs,Strong reads are free on on-demand,Strong reads disable throttling,A
DynamoDB,staff,"In DynamoDB, time-series data with PK = today's date concentrates today's writes. A better key shape is:",PK = a single string 'timeseries',"Shard by a high-cardinality id (device, customer, or time bucket + shard) so ingests spread, and query by the access pattern you actually have",PK = status ACTIVE,"No partition key, sort key only",B
DynamoDB,staff,"In DynamoDB, why model 1:N as partition key = parent and sort key = child rather than embedding an unbounded list on the parent?",Lists are not a DynamoDB type,"The parent item would grow toward 400KB, every child change would rewrite the parent, and you could not Query a slice of children",Sort keys forbid queries,Children cannot share a table,B
DynamoDB,staff,"In DynamoDB, you are asked to 'just add an index' for an unplanned access pattern. What do you check first?","Whether the new key has cardinality and even traffic, and whether the extra write fan-out is acceptable",Whether Scan would be faster,Whether items exceed 400KB after indexing,Whether the index can be strongly consistent,A
DynamoDB,staff,"In DynamoDB, you are designing for a 10× Prime-Day-like spike on a few product keys. Adaptive capacity and on-demand help, but what still requires modeling work?",Nothing; on-demand removes hot keys.,"A single partition key still has a ceiling; cache, shard the key, or isolate those items so one product cannot concentrate all writes.",Global tables spread one key's writes evenly across partitions.,DAX makes writes infinitely scalable.,B
DynamoDB,staff,"In DynamoDB, you need atomic debit of account A and credit of account B. Why is 'two PutItems' insufficient?",PutItem cannot write numbers,Each item write is atomic alone; a crash between them can strand money unless you use a transaction or a modeled workflow,Accounts must share a partition key always,Strongly consistent reads provide atomic multi-item writes,B
Gen AI,staff,"In generative AI, a company wants to fine-tune on PII support tickets to 'make the model remember customers'. What should you block?",Fine-tuning cannot memorize.,Weights can memorize; you turned the model into a PII store that is hard to delete. Prefer RAG with access control over the tickets.,PII in prompts is fine if temperature is 0.,Fine-tunes automatically forget after 30 days.,B
Gen AI,staff,"In generative AI, a defense that only strips the phrase “ignore previous instructions” is weak because:","Injection can be encoded, translated, role-played, or aimed at tools without that phrase",That phrase is the only known attack,Models cannot read other languages,Tools never see retrieved text,A
Gen AI,staff,"In generative AI, a grounded-generation eval should jointly report:","Answer correctness, attribution/entailment to retrieved spans, and retrieval recall—not only chat fluency",Perplexity on the system prompt,Temperature as a quality score,Parameter count of the judge,A
